Cidade,QtdDiasVaiChover,QtdDiasNaoVaiChover,TotalDiasMapeados
Paraibuna,6,0,6
Aparecida,6,0,6
Santa Branca,6,0,6
Cacapava,6,0,6
Pindamonhangaba,6,0,6
Cachoeira Paulista,6,0,6
Redencao da Serra,6,0,6
Lavrinhas,6,0,6
Cruzeiro,6,0,6
Ilhabela,6,0,6
Caraguatatuba,6,0,6
Potim,6,0,6
Bananal,6,0,6
Taubate,6,0,6
Silveiras,6,0,6
Guaratingueta,6,0,6
Sao Bento do Sapucai,6,0,6
Queluz,6,0,6
Arapei,6,0,6
Piquete,6,0,6
Ubatuba,6,0,6
Santo Antonio do Pinhal,6,0,6
Monteiro Lobato,6,0,6
Areias,6,0,6
Campos do Jordao,6,0,6
Natividade da Serra,6,0,6
Lagoinha,5,1,6
Cunha,6,0,6
Jambeiro,6,0,6
Jacarei,6,0,6
Lorena,6,0,6
Sao Jose do Barreiro,6,0,6
Canas,6,0,6
Roseira,6,0,6
Sao Sebastiao,6,0,6
Sao Luiz do Paraitinga,5,1,6
Sao Jose dos Campos,6,0,6
Igarata,6,0,6
Tremembe,6,0,6
